anime_name,anime_id,type,episodes,score,rank,popularity,scored_by,likes,aired_from,aired_to,duration,Storyline
Kurohime: Shikkoku no Yakata,1385,OVA,2,5.88,,7778,1480,9,2002-05-31T00:00:00+00:00,2003-03-28T00:00:00+00:00,28 min per ep,"A camping trip takes a turn for the wild when the group discovers a mystery mansion in the woods. Excitement turns to thrills of terror as people begin to disappear. Too late, they realize they are trapped in the clutches of a mysterious woman. Who is that woman and will the group of campers be able to escape the remote mansion? (Source: AniDB)"
Blood Royale,1386,OVA,2,5.6,,7157,1609,8,2002-08-30T00:00:00+00:00,2002-11-29T00:00:00+00:00,30 min per ep,"A perverted pirate sails the seven seas, armed with a torture chamber and his depraved imagination. Nothing is off limits in this bizarre excursion into a world of erotic peril. (Source: AniDB)"
Yakin Byoutou,1387,OVA,10,6.28,,5120,4232,70,2000-12-08T00:00:00+00:00,2004-01-30T00:00:00+00:00,28 min per ep,"On a forbidden hospital ward, the head doctor performs madly erotic experiments, stripping the nursing staff of their uniforms, inhibitions and self-control... until even he is shocked by what he uncovers! (Source: AniDB)"
Yakin Byoutou Ni,1388,OVA,5,6.1,,7141,1701,2,2004-07-30T00:00:00+00:00,2006-01-27T00:00:00+00:00,27 min per ep,"An elite doctor Kuwahara couldnt forget his thought toward Nanase Ren, whom he had loved in his youth. Then he changed the hospital to work one after another to look for her, and finally he met her again at the St. Cattleya Hospital. However, her attitude was remote and his love couldnt be fulfilled. To make the matter worse, he received photograph on which Ren was molested. Ren had been turned into a lewd woman by Hirasaka by the woman body experiment when she was at the St. Julianna Hospital. He was disappointed and he lost his mind. Kazama Mana who was a nurse of the gynecology and obstetrics section, loved Kuwahara, and she resembled Ren. Taking advantage of her thoughts, Kuwahara raped her and deprived her virginity shouting the name of Ren. (Source: AnimeNfo)"
Yakin Byoutou San,1389,OVA,3,6.21,,7133,1621,5,2005-07-29T00:00:00+00:00,2006-01-27T00:00:00+00:00,28 min per ep,"Sora was lying in front of a hospital. He was seriously injured, and when he was about to die, a nurse, Yamami Yu, helped him. He was sent into an emergency ward, and he met a beautiful woman, Mikage Reika. She was a director of the hospital, and she asked him to become a test subject. Because he didn't have any relatives, he accepted it. Then, Yagami Yu was supposed to take care of him. Since that day, his fate had changed a lot. (Source: AnimeNfo)"
Parade Parade,1390,OVA,2,5.95,,8417,1128,7,1996-04-26T00:00:00+00:00,1996-07-26T00:00:00+00:00,30 min per ep,"Meet Kaori Shiina. She's beautiful. She's talented. She's a pop idol. However, she has a secret, one which would destroy her career if it were ever revealed..."
Future GPX Cyber Formula,1391,TV,37,7.34,2211,6457,1621,44,1991-03-15T00:00:00+00:00,1991-12-20T00:00:00+00:00,24 min per ep,"14-year-old Kazami Hayato is the youngest driver of Cyber Formula, a Grand Prix in which each vehicle is equipped with computers to aid in racing. With the help of Asurada, the most advanced cybernavigation system, and team Sugo, Hayato races to become the winner of the 10th Cyber Formula Grand Prix. Along the way, Hayato will have to learn what it truly means to be a racer and that victory cannot be achieved simply by driving the best machine. In addition, Kazami will have to gain the respect of the veteran racers, thwart those who attempt to steal Asurada, and participate in races outside of Cyber Formula. (Source: ANN)"
Future GPX Cyber Formula 11,1392,OVA,6,7.29,2464,9195,947,8,1992-11-01T00:00:00+00:00,1993-06-01T00:00:00+00:00,30 min per ep,"It is now time for the 11th Cyber Formula World Grand Prix. With all the expectations and pressures placed upon him, Hayato Kazami struggles to regain the championship form that he had a year ago. Moreover, Osamu Sugo, aka Knight Schumacher, has reentered the competition, and declared Hayato to be an enemy. Hayato, with the new Super Asurada AKF-11, must now defeat someone he once deeply trusted in order to secure his second championship. (Source: ANN)"
Future GPX Cyber Formula Zero,1393,OVA,8,7.4,1965,9162,942,11,1994-04-01T00:00:00+00:00,1995-02-01T00:00:00+00:00,30 min per ep,"A freak accident during the 12th Cyber Formula World Grand Prix causes Hayato Kazami to miss the rest of the season, and critically injures both his body and his will to continue racing. Hayato's longtime friend, Asuka Sugo, helps nurse him back to health, and in return he proposes to her and promises her that he would never race again. But as time goes on, Hayato begins to doubt whether he really wants to retire, and decides to make a comeback after all. And with the 13th Cyber Formula World Grand Prix now underway, he must struggle to regain his racing form; regain the trust of Asuka, whose promise he broke; and thwart the malicious intents of Henri Clayton. All the while, the reason behind Hayato's accident begins to unveil itself: the ""Zero Zone."" (Source: ANN)"
Future GPX Cyber Formula Saga,1394,OVA,8,7.34,2212,9248,830,9,1996-08-01T00:00:00+00:00,1997-07-25T00:00:00+00:00,30 min per ep,"After his disappointing loss in the last round of the 14th Cyber Formula World Grand Prix, which causes him the championship, Hayato Kazami decides that he needs a change and switches over to the Sugo Garland SF-03 for the 15th Cyber Formula World Grand Prix while he waits for the newest Asurada design. However, his hope to make up for the past year's letdown is made difficult when Aoi ZIP Formula undergoes a major restructuring and brings in Kyoshiro Nagumo as the new president of the team. The new car that he brought to the team, driven by newcomer Phil Fritz, is seemingly unbeatable... (Source: ANN)"
Future GPX Cyber Formula Sin,1395,OVA,5,7.45,1799,9259,830,11,1998-12-21T00:00:00+00:00,2000-03-17T00:00:00+00:00,30 min per ep,"After Aoi Zip Formula was banned for one year from Cyber Formula racing due to cheating, Jotaro Kaga, alias Bleed Kaga, returns for the 17th Cyber Formula World Grand Prix. However his old car is no match for the returning champion Hayato Kazami, whose skill has improved tremendously, and his Nu-Asurada AKF-0. An old face, Kyoshiro Nagumo, appears suddenly to him and offers him the Ogre AN-21: a prototype to the Bio-Computer operated Al-Zard series created by the developers of the Asurada, and an ultimate racing machine that only a few can drive. Kaga must now master this car, confront his own inner demons and, most importantly, defeat his longtime rival Hayato in what is possibly Kaga's last and greatest Cyber Formula season. (Source: ANN)"
Future GPX Cyber Formula: Early Days Renewal,1396,OVA,2,6.46,6344,12354,135,0,1996-04-01T00:00:00+00:00,1996-06-01T00:00:00+00:00,58 min per ep,Future GPX Cyber Formula: Early Days Renewal is following Future GPX Cyber Formula ZERO.
Macross 7,1397,TV,49,7.13,3244,3498,9709,208,1994-10-16T00:00:00+00:00,1995-09-24T00:00:00+00:00,25 min per ep,"35 years have passed since Lynn Minmay had brought peace between the Zentradi and the humans in the events of Macross. Nekki Basara is a guitarist and a singer of the band Fire Bomber. Living in a less-developed part of the flying colony City 7 which is looking for a habitable planet, he composes and sings songs in the belief that music holds a greater power. During its flight, an unknown alien race appeared and started laying siege upon City 7. However, its attacks are not conventional -- instead of trying to destroy them, they steal what is known as ""spiritia"", rendering victims unresponsive and zombie-like. During these battles, Basara always goes out into the middle of the warzone, singing his songs and expecting friend and foe to listen and be moved by his music. (Source: ANN)"
Macross Dynamite 7,1398,OVA,4,6.84,4455,4942,4816,15,1997-12-18T00:00:00+00:00,1998-08-25T00:00:00+00:00,30 min per ep,"Less than a year after the events that transpired in the Macross 7 TV series, Basara leaves Fire Bomber and travels to the planet Zola. There, he meets a girl named Elma, who is a big fan of Fire Bomber. It is also on this planet where he must once again use his Spiritia powers; this time, to stop an army of poachers and Elma's father Graham from killing a group of space whales travelling within the planetary system."
Macross 7 Encore,1399,OVA,3,6.96,3941,5748,3815,7,1995-12-18T00:00:00+00:00,1996-02-25T00:00:00+00:00,24 min per ep,"Three unbroadcasted episodes of the Macross 7 series. In ""Fleet of the Strongest Women,"" the Macross 7 fleet encounters a rogue Meltrandi fleet led by an old rival of Millia. ""On Stage"" focuses on Ray's past as a fighter pilot, how he first met Basara, and how they formed Fire Bomber. In ""Which One Do You Love,"" when Millia falls ill, she feels her life expectancy is running short and attempts to have Mylene engaged to Basara. (Source: ANN)"
Macross 7 Movie: Ginga ga Ore wo Yondeiru!,1400,Movie,1,6.92,4105,5743,3804,10,1995-09-30T00:00:00+00:00,,33 min,"While investigating a sound anomaly across the galaxy, Basara crash-lands on a snowy planet and receives an unfriendly welcome from the local residents. On the planet, he befriends Pedro, a four-year-old boy who watches the Galaxy Network and idolizes Fire Bomber. Basara also discovers that the sound he's searching for is generated by Emilia, a lone Meltrandi struggling to make music of her own. (Source: ANN)"
